Price,Size,Location,Air pollution,Noise pollution,Water,Electricity,Heating,Internet,Buy
medium,medium,town,none,high,no,no,no,yes,no
expensive,medium,town,low,medium,yes,yes,no,yes,no
cheap,medium,village,low,high,yes,yes,no,no,yes
expensive,medium,city,high,high,no,yes,no,yes,no
cheap,medium,city,none,low,yes,yes,no,yes,yes
expensive,medium,city,medium,low,no,no,no,no,no
cheap,big,town,high,medium,yes,yes,yes,yes,yes
cheap,small,town,none,high,yes,yes,no,yes,yes
cheap,small,town,high,none,yes,no,yes,yes,yes
expensive,big,city,low,high,no,yes,no,no,no
expensive,medium,city,medium,high,no,no,yes,yes,no
expensive,small,city,none,none,yes,yes,yes,no,no
expensive,small,city,medium,high,no,no,yes,no,no
expensive,big,city,medium,none,yes,no,yes,no,no
expensive,medium,city,high,high,no,yes,yes,no,no
expensive,small,town,medium,medium,yes,no,no,yes,no
medium,medium,city,medium,high,yes,yes,yes,no,unknown
expensive,small,village,medium,none,yes,no,no,no,no
medium,small,city,none,none,no,no,no,yes,no
expensive,small,town,medium,low,yes,yes,yes,yes,no
medium,medium,village,none,medium,yes,yes,no,yes,no
cheap,big,town,low,low,yes,no,yes,yes,yes
medium,medium,town,medium,low,yes,yes,yes,yes,unknown
medium,medium,city,medium,medium,yes,no,no,yes,unknown
expensive,big,city,medium,medium,yes,no,yes,no,no
cheap,small,town,low,none,no,yes,yes,yes,no
cheap,small,city,none,high,no,no,no,no,no
expensive,small,village,low,none,no,no,no,yes,no
expensive,big,city,high,none,yes,no,yes,no,no
expensive,big,town,high,medium,no,no,yes,no,no
expensive,medium,town,none,medium,yes,no,no,no,no
medium,medium,village,none,none,yes,no,no,yes,no
medium,big,city,none,high,no,yes,no,yes,no
cheap,medium,village,low,high,no,no,yes,no,no
expensive,medium,village,high,none,yes,no,no,no,no
expensive,medium,town,low,high,no,no,yes,no,no
expensive,big,city,high,high,no,no,no,yes,no
expensive,medium,town,medium,medium,yes,yes,yes,no,no
medium,medium,town,none,none,no,yes,no,yes,no
expensive,big,village,none,medium,no,no,yes,no,no
medium,small,town,low,none,yes,no,yes,no,yes
medium,medium,village,high,none,no,yes,no,yes,no
expensive,big,city,none,none,no,no,yes,no,no
medium,medium,city,high,low,no,no,yes,yes,no
medium,big,town,medium,low,no,no,yes,yes,no
cheap,big,city,none,medium,yes,yes,yes,yes,yes
medium,big,city,none,medium,yes,yes,no,yes,unknown
cheap,small,village,low,none,yes,yes,no,yes,yes
expensive,small,village,none,none,yes,no,no,no,no
medium,medium,town,medium,none,no,no,no,no,no
expensive,small,village,low,high,yes,no,yes,no,no
expensive,small,town,high,low,no,no,yes,yes,no
expensive,small,town,medium,low,no,yes,yes,yes,no
expensive,small,town,high,high,yes,yes,yes,no,no
medium,big,town,low,high,yes,yes,yes,no,yes
medium,medium,town,none,none,yes,yes,yes,yes,yes
expensive,small,town,medium,none,no,yes,no,yes,no
expensive,medium,city,high,medium,no,no,no,no,no
cheap,medium,village,none,none,yes,yes,yes,yes,yes
medium,small,city,medium,none,no,no,no,yes,no
medium,big,town,medium,low,no,yes,yes,yes,no
medium,big,town,high,low,yes,no,yes,no,no
medium,big,city,none,medium,yes,no,yes,yes,yes
cheap,big,town,none,high,yes,no,yes,no,yes
expensive,big,village,none,high,no,no,no,yes,no
cheap,medium,city,medium,high,yes,yes,no,no,yes
expensive,big,city,low,none,no,no,no,yes,no
medium,big,village,none,low,yes,yes,no,yes,no
cheap,big,town,none,none,yes,no,yes,no,yes
cheap,medium,city,low,none,yes,yes,no,yes,yes
expensive,small,city,medium,high,yes,yes,yes,no,no
medium,small,town,high,none,no,no,no,no,no
expensive,small,town,none,none,yes,no,yes,yes,no
expensive,small,town,low,medium,yes,yes,yes,no,no
cheap,big,town,medium,low,no,yes,yes,no,no
medium,medium,town,none,none,no,no,yes,yes,no
medium,big,city,medium,low,no,yes,yes,no,no
cheap,medium,city,low,medium,yes,no,no,no,yes
cheap,small,city,high,low,yes,no,no,no,yes
expensive,big,village,medium,low,no,yes,no,yes,no
cheap,medium,town,medium,high,yes,yes,yes,yes,yes
expensive,small,town,none,low,no,yes,yes,no,no
cheap,small,village,none,high,yes,yes,yes,yes,yes
cheap,big,village,medium,medium,no,yes,yes,no,no
expensive,small,village,low,low,no,yes,yes,yes,no
medium,small,city,low,high,yes,no,no,yes,no
medium,big,town,low,high,yes,yes,no,no,no
medium,small,village,none,high,yes,no,no,no,no
expensive,small,city,high,low,no,no,yes,no,no
expensive,small,city,low,medium,no,no,no,no,no
medium,medium,town,low,high,no,no,no,no,no
expensive,small,city,medium,low,yes,no,no,yes,no
cheap,medium,village,low,none,no,yes,yes,no,no
medium,big,village,high,medium,yes,yes,no,no,no
medium,medium,city,none,high,yes,no,yes,no,yes
expensive,medium,village,low,medium,no,yes,no,yes,no
expensive,small,town,medium,high,no,yes,no,yes,no
cheap,small,city,none,high,yes,yes,no,yes,yes
cheap,big,village,medium,high,no,no,yes,yes,no
cheap,small,village,high,medium,no,yes,yes,yes,no
